ALBYILXD	41.78917	-90.22128
ALBYIN01	40.29853	-85.24591
ALBYKYXA	36.69137	-85.13314
ALBYLAMA	30.50139	-90.58068
ALBYMNXA	45.63048	-94.57223
ALBYMOXA	40.24783	-94.34179
ALBYNY80	42.64703	-73.75230
ALBYNYDY	42.68182	-73.79412
ALBYNYEW	42.72848	-73.84702
ALBYNYGD	42.71312	-73.87096
ALBYNYKJ	42.67150	-73.73444
ALBYNYPS	42.64703	-73.75230
ALBYNYSS	42.64978	-73.75724
ALBYNYVP	42.66064	-73.74584
ALBYNYWA	42.68095	-73.80286
ALBYNYWB	42.65616	-73.75838
ALBYNYYC	42.65616	-73.75838
ALBYOHXA	39.22859	-82.20579
ALBYOR63	44.63732	-123.09900
ALBYORAG	44.67134	-123.14075
ALBYORQA	44.65544	-123.01327
ALBYTXPO	32.72694	-99.29685
ALBYWIXA	42.71028	-89.43351
ALCHFLXA	29.79094	-82.49728
ALCKBC01	52.07488	-123.26965
ALCKWVAK	38.29032	-81.81146
ALCOARXA	35.86779	-92.31761
ALCRTNXA	35.79070	-85.61481
ALCSSDXA	43.02023	-96.62128
ALCTWIXA	44.43513	-90.91109
ALCYAL07	32.94642	-85.94995
ALCYALMT	32.94237	-85.95255
ALCYIAXO	42.78287	-94.94776
ALDLILXE	38.53034	-87.70811
ALDLMIXJ	42.97263	-85.94744
ALDLMOXA	40.48199	-94.28675
ALDLSCMA	33.00495	-81.30774
ALDNIAXO	42.51736	-93.37884
ALDNKSXA	38.24327	-98.30855
ALDNMIXH	44.88323	-85.27628
ALDNMNXB	43.67411	-93.57610
ALDNNYAD	42.89864	-78.49993
ALDRMOXA	37.55121	-93.56035
ALDRWVAD	37.72501	-80.64066
ALDVNBSC	47.47195	-65.49237
ALEDILXD	41.19717	-90.75096
ALEXOKMA	34.91891	-97.77969
ALEXTNXA	35.32642	-87.30972
ALFAFLXA	27.85040	-82.37309
ALFAPAAL	40.66690	-77.45794
ALFENYXA	42.25359	-77.79270
ALFEON01	45.44804	-75.52556
ALFLOKXA	35.21997	-98.60943
ALFRFLXA	30.69785	-85.38873
ALFRNS01	45.03358	-64.83886
ALGDNCXA	35.61061	-76.85833
ALGDTNAB	36.18568	-85.40409
ALGDTNXA	36.19155	-85.45202
ALGHCA11	39.46946	-120.84466
ALGMWI11	44.61147	-87.44030
ALGNIA04	43.07244	-94.23148
ALGNIAAD	43.06467	-94.16085
ALGNIAQA	43.07161	-94.19776
ALGNIATC	43.06820	-94.23401
ALGNILAQ	42.16419	-88.29309
ALGNMIMN	42.62014	-82.52895
ALGRMIXJ	44.12944	-84.11984
ALGROHXA	40.70804	-83.84411
ALGRWAXX	48.59139	-122.32296
ALHBCA01	34.09444	-118.12501
